Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Forward Data Packet Ratio,Original Label
53,61204,1,1,61,327,61,61,61.0,0.0,327,327,327.0,0.0,6339.454938,32.67760277,61204.0,0.0,61204,61204,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,16.33880139,16.33880139,61,327,149.6666667,153.5751716,0,0,0,0,0,1,0,20,0.0,0.0,0,0,0.0,0.0,0.0,BENIGN
2629,54,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,222222.2222,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,18518.51852,18518.51852,6,6,6.0,0.0,0,0,0,1,1,1,0,20,0.0,0.0,0,0,0.0,0.0,0.0,Bot
80,9578506,8,6,388,11632,388,0,48.5,137.1787156,5792,0,1938.666667,2544.918912,1254.892986,1.461605808,736808.1538,1799878.751,5003807,14,4574699,653528.4286,1727860.218,4571947,218,9578387,1915677.4,2626839.412,5005601,14,0,264,200,0.835203319,0.626402489,0,5792,801.3333333,1801.827432,0,0,1,0,0,0,1,32,0.0,0.0,0,0,0.0,0.0,0.125,DoS GoldenEye
80,99818643,11,6,1316,11595,329,0,119.6363636,165.9887181,4344,0,1932.5,1754.831473,129.3445754,0.170308867,6238665.188,24700000.0,98800000,3,99700000,9968219.1,31200000.0,98800000,3,991384,198276.8,371798.1297,854964,15,0,360,200,0.110199855,0.060109012,0,4344,717.2777778,1305.569419,0,0,0,1,0,0,4,32,2003.0,0.0,2003,2003,98800000.0,0.0,0.36363636363636365,DoS Hulk
80,111358988,5,3,526,0,520,0,105.2,231.8948037,0,0,0.0,0.0,4.723462465,0.071839733,15900000.0,41400000.0,110000000,42,111000000,27800000.0,54700000.0,110000000,615,110000000,54900000.0,77700000.0,110000000,5252,0,168,104,0.044899833,0.0269399,0,520,58.44444444,173.0947075,0,0,1,0,0,0,2,32,5328.0,0.0,5328,5328,110000000.0,0.0,0.4,DoS Slowhttptest
80,87447052,14,2,2318,0,231,0,165.5714286,107.3740509,0,0,0.0,0.0,26.50746877,0.18296786,5829803.467,10100000.0,36200000,49,87400000,6726696.308,10700000.0,36200000,322,31600000,31600000.0,0.0,31600000,31600000,0,456,80,0.160096878,0.022870983,0,231,136.3529412,116.6211501,0,0,1,0,0,0,11,32,3205566.0,4532676.09,6410652,480,11200000.0,6466270.111,0.7857142857142857,DoS slowloris
444,119302728,2685,1729,8299,7556917,517,0,3.090875233,16.85842056,17376,0,4370.686524,2566.935004,63411.92802,36.99831575,27034.38205,174625.7584,5024984,0,119000000,44449.50857,222461.7159,5025702,0,119000000,69040.90509,273867.424,5024984,1,0,85928,55336,22.50577204,14.49254371,0,17376,1713.525708,2669.389319,0,0,1,0,0,0,118,32,2217.0,0.0,2217,2217,5024984.0,0.0,0.04394785847299814,Heartbleed
80,5099093,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.784453235,1699697.667,2943177.25,5098186,122,5099093,2549546.5,3604320.546,5098186,907,0,0.0,0.0,0,0,0,104,40,0.588339926,0.196113309,0,0,0.0,0.0,0,0,1,0,0,0,0,32,0.0,0.0,0,0,0.0,0.0,0.0,Web Attack � Brute Force
80,5006127,4,4,447,530,447,0,111.75,223.5,530,0,132.5,265.0,195.1608499,1.59804176,715161.0,1889619.815,5000415,4,5712,1904.0,2168.235227,4266,4,5005996,1668665.333,2885896.206,5001011,1407,0,136,136,0.79902088,0.79902088,0,530,108.5555556,216.4053552,0,0,1,0,0,1,1,32,0.0,0.0,0,0,0.0,0.0,0.25,Web Attack � Sql Injection
80,5418306,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.738238114,1806102.0,3127502.674,5417431,93,5418306,2709153.0,3830083.478,5417431,875,0,0.0,0.0,0,0,0,104,40,0.553678585,0.184559528,0,0,0.0,0.0,0,0,1,0,0,0,0,32,0.0,0.0,0,0,0.0,0.0,0.0,Web Attack � XSS
